Bill,Bill Name,Summary, Category,,,,,,,,,,category,,,,category
HB1297,Veteran guardianship; creating the Veterans Volunteer Guardianship Act; ...,Veteran guardianship; creating the Veterans Volunteer Guardianship Act; effective date.,Veterans,,,,,,,,,,,,,,Other
HB3345,Missing and murdered indigenous persons; creating Ida's Law; effective d...,Missing and murdered indigenous persons; creating Ida's Law; effective date.,CrimeandPunishment,,,,,,,,,,,,,,Military
HB3111,State government; creating the Oklahoma Tourism Ignition Program; effect...,State government; creating the Oklahoma Tourism Ignition Program; effective date.,Culture,,,,,,,,,,,,,,Military
HB3876,Public buildings and public works; at-risk construction management; paym...,Public buildings and public works; at-risk construction management; payment bonds; right of action; effective date.,Culture,,,,,,,,,,,,,,Military
HB2518,Airports; modifying length of primary term for municipal contracting; ef...,Airports; modifying length of primary term for municipal contracting; effective date.,Aircraft/Airports,,,,,,,,,,,,,,Other
HB1372,Schools; vision screening; specifying that optometrists may perform scre...,Schools; vision screening; specifying that optometrists may perform screening; effective date.,Education,,,,,,,,,,,,,,Other
HB1278,Community-based service providers; establishing requirements for reducti...,Community-based service providers; establishing requirements for reductions in planned services; effective date.,Other,,,,,,,,,,,,,,Other
SB1157,Aircraft excise tax; modifying apportionment of tax after specified date...,Aircraft excise tax; modifying apportionment of tax after specified date; deleting obsolete language. Effective date. Emergency.,Aircraft/Airports,,,,,,,,,,,,,,Other
SB1598,Health insurance; requiring coverage for certain pediatric autoimmune di...,Health insurance; requiring coverage for certain pediatric autoimmune disorders panel; authorizing Insurance Commission to promulgate rules. Effective date.,Insurance,,,,,,,,,,,,,,Other
SB1573,State government; Fleet Management Division of the Office of Management ...,State government; Fleet Management Division of the Office of Management and Enterprise Services; providing oversight exception for the Military Department. Effective date.,Government,,,,,,,,,,,,,,Other
SB1560,Sales tax; limiting time period for use of certain sales tax exemptions ...,Sales tax; limiting time period for use of certain sales tax exemptions related to aircraft maintenance and manufacturing facilities. Effective date.,Tax,,,,,,,,,,,,,,Other
SB1731,Oklahoma Commission on Children and Youth; modifying membership requirem...,Oklahoma Commission on Children and Youth; modifying membership requirements; modifying purpose of endowment fund. Effective date.,Children,,,,,,,,,,,,,,Other
SB1650,Motor vehicles; creating Peer-to-Peer Car Sharing Program Act; defining ...,Motor vehicles; creating Peer-to-Peer Car Sharing Program Act; defining terms; requiring insurance. Effective date.,MotorVehicles,,,,,,,,,,,,,,Other
SB1809,Oklahoma Guardianship and Conservatorship Act; modifying procedures for ...,Oklahoma Guardianship and Conservatorship Act; modifying procedures for determination of guardianship for incapacitated person. Effective date.,Guardianship,,,,,,,,,,,,,,Property
SB1668,Police pension; modifying definition of paid base salary. Effective date.,Police pension; modifying definition of paid base salary. Effective date.,Retirement,,,,,,,,,,,,,,Property
SB1764,Emergency response systems; eliminating geographical restrictions on str...,Emergency response systems; eliminating geographical restrictions on stretcher vans. Effective date.,Emergency,,,,,,,,,,,,,,Property
SB1655,Roofing contractors; prohibiting waiving of insurance deductible. Effect...,Roofing contractors; prohibiting waiving of insurance deductible. Effective date.,Insurance,,,,,,,,,,,,,,Property
SB1588,State government; establishing volunteer administrative leave for employ...,State government; establishing volunteer administrative leave for employees. Effective date.,Government,,,,,,,,,,,,,,Property
SB1665,Firefighters Pension and Retirement System; which relates to temporary s...,Firefighters Pension and Retirement System; which relates to temporary sickness or disability; updating statutory language.,Retirement,,,,,,,,,,,,,,Other
SB1826,Aircraft; creating the Oklahoma Air Service Development Grant Pilot Prog...,Aircraft; creating the Oklahoma Air Service Development Grant Pilot Program; creating the Oklahoma Air Service Development Grant Pilot Program revolving fund. Effective date.,Aircraft/Airports,,,,,,,,,,,,,,Other
SB1853,Child support; modifying guidelines for computation of income under cert...,Child support; modifying guidelines for computation of income under certain circumstances; requiring modification of certain orders. Effective date.,Guardianship,,,,,,,,,,,,,,Retirement
SB1834,Oklahoma Children's Code; adding exception to certain disclosure require...,Oklahoma Children's Code; adding exception to certain disclosure requirements. Effective date.,Children,,,,,,,,,,,,,,Retirement
SB1874,Emergency response systems; adding definitions. Effective date.,Emergency response systems; adding definitions. Effective date.,Emergency,,,,,,,,,,,,,,Retirement
SB1848,Nursing; modifying authority of Certified Registered Nurse Anesthetists ...,Nursing; modifying authority of Certified Registered Nurse Anesthetists to administer anesthesia and controlled substances. Effective date.,Healthcare,,,,,,,,,,,,,,Retirement
SB801,Advanced Practice Registered Nurses; modifying certain definition. Emerg...,Advanced Practice Registered Nurses; modifying certain definition. Emergency.,Healthcare,,,,,,,,,,,,,,Retirement
SB1025,Statewide Temporary Assistance Responsibility System (STARS); assigning ...,Statewide Temporary Assistance Responsibility System (STARS); assigning certain recipients to certain program.,Other,,,,,,,,,,,,,,Retirement
HB2282,Corrections; relating to persons authorized to act as jailers; modifying...,Corrections; relating to persons authorized to act as jailers; modifying qualifying jailers; emergency.,LawEnforcement,,,,,,,,,,,,,,Retirement
HB2517,Birth defects; updating definition; effective date.,Birth defects; updating definition; effective date.,Healthcare,,,,,,,,,,,,,,Tax
SB930,Property; specifying activities in which a trust may engage. Effective d...,Property; specifying activities in which a trust may engage. Effective date.,Property,,,,,,,,,,,,,,Tax
SB62,State government; specifying certain OSBI employees be subject to crimin...,State government; specifying certain OSBI employees be subject to criminal history search. Effective date.,Government,,,,,,,,,,,,,,Tax
SB915,Remote online notarial acts; establishing procedures for online notariza...,Remote online notarial acts; establishing procedures for online notarizations. Effective date.,Other,,,,,,,,,,,,,,Tax
SB3,Counties and county officers; modifying requirements for assessment of c...,Counties and county officers; modifying requirements for assessment of certain fees. Effective date.,Other,,,,,,,,,,,,,,Technology
HB1277,Medicaid; billing for home- and community-based waivers; effective date.,Medicaid; billing for home- and community-based waivers; effective date.,Insurance,,,,,,,,,,,,,,Technology
SB918,State government; establishing volunteer administrative leave for employ...,State government; establishing volunteer administrative leave for employees. Effective date.,Government,,,,,,,,,,,,,,Technology
HB1296,State government; employment of attorneys by the Oklahoma Department of ...,State government; employment of attorneys by the Oklahoma Department of Veterans Affairs; effective date.,Government,,,,,,,,,,,,,,Veterans
SB1018,Stretcher vans; modifying definitions; permitting vans to carry and admi...,Stretcher vans; modifying definitions; permitting vans to carry and administer oxygen. Emergency.,Healthcare,,,,,,,,,,,,,,Veterans
HB2465,State government; Oklahoma Personnel Act; prohibiting use of compensator...,State government; Oklahoma Personnel Act; prohibiting use of compensatory time if sick leave is available; requiring payment of overtime for certain employees; effective date.,Government,,,,,,,,,,,,,,Veterans
HB1036,Children; prohibiting guardianship if prospective guardian is the child'...,Children; prohibiting guardianship if prospective guardian is the child's parent and parental rights have been terminated; effective date.,Guardianship,,,,,,,,,,,,,,Veterans
HB2269,Public retirement systems; Firefighters Pension and Retirement System; c...,Public retirement systems; Firefighters Pension and Retirement System; computation of certain annuity values; payment of benefits; Police Pension and Retirement System; adding persons and entities to whom certain payments ...,Retirement,,,,,,,,,,,,,,Veterans
SB1028,Statewide Temporary Assistance Responsibility System (STARS); adding cer...,Statewide Temporary Assistance Responsibility System (STARS); adding certain condition of eligibility. Effective date.,Other,,,,,,,,,,,,,,Veterans
HB2393,Landlord and tenant; termination of tenancy; modifying mailing of notice...,Landlord and tenant; termination of tenancy; modifying mailing of notice; effective date.,Property,,,,,,,,,,,,,,Veterans
